# DATA PERPUSTAKAAN
# Format: ID|NAMA|KATEGORI|JUMLAH
# Total data: 30
1|Matematika Dasar|Sains|15
2|Fisika Modern|Sains|8
3|Kimia Organik|Sains|12
4|Biologi Sel|Sains|20
5|Statistika Terapan|Sains|6
6|Kalkulus Lanjut|Sains|9
7|Pemrograman Java|Teknologi|25
8|Basis Data|Teknologi|18
9|Jaringan Komputer|Teknologi|11
10|Kecerdasan Buatan|Teknologi|30
11|Struktur Data|Teknologi|14
12|Keamanan Siber|Teknologi|7
13|Algoritma Pemrograman|Teknologi|22
14|Sejarah Indonesia|Sejarah|10
15|Sejarah Dunia|Sejarah|13
16|Perang Dunia II|Sejarah|8
17|Revolusi Industri|Sejarah|5
18|Sejarah Islam|Sejarah|16
19|Dinasti Ming|Sejarah|4
20|Kolonialisme Eropa|Sejarah|9
21|Sejarah Romawi|Sejarah|11
22|Bahasa Indonesia|Bahasa|17
23|Bahasa Inggris|Bahasa|23
24|Bahasa Jepang|Bahasa|14
25|Linguistik Umum|Bahasa|6
26|Sastra Indonesia|Bahasa|10
27|Tata Bahasa Inggris|Bahasa|19
28|Bahasa Arab|Bahasa|8
29|Pengantar Linguistik|Bahasa|12
30|Semantik dan Pragmatik|Bahasa|5
